"","Time1","Time2","Time3","Time4","Time5","Time6","Time7","Time8","Time9","Time10","Time11","Time12","Time13","Time14","Time15","Time16","Time17","Time18","Time19","Time20","Time21","Time22","Time23","Time24","Time25","Time26","Time27","Time28","Time29","Time30","Time31","Time32","Time33","Time34","Time35","Time36","Time37","Time38","Time39","Time40","Time41","Time42","Time43","Time44","Time45","Time46","Time47","Time48","Time49","Time50","Time51","Time52","Time53","Time54","Time55","Time56","Time57","Time58","Time59","Time60","Time61","Time62","Time63","Time64","Time65","Time66","Time67","Time68","Time69","Time70","Time71","Time72","Time73","Time74","Time75","Time76","Time77","Time78","Time79","Time80","Time81","Time82","Time83","Time84","Time85","Time86","Time87","Time88","Time89","Time90","Time91","Time92","Time93","Time94","Time95","Time96","Time97","Time98","Time99","Time100"
"2","26.2500","26.9231","30.2500","28.8125","29.8000","31.3333","28.0714","30.0000","32.4375","41.3333","38.9444","34.2857","34.6842","32.7222","33.0000","39.7500","39.3571","31.2222","32.8462","30.7857","29.8667","34.7222","33.5000","31.0556","31.2857","35.6667","41.4286","33.7857","29.4167","30.2353","30.5714","34.8095","36.6667","37.2143","33.6875","33.6667","32.2778","33.3333","34.5556","33.5000","31.3333","32.1111","32.0833","30.3077","29.6667","26.5000","29.4286","33.5000","35.4545","34.5714","35.2143","34.5385","36.8571","39.3750","35.7857","35.5714","34.6667","34.7143","35.1667","33.8125","34.4286","35.3571","36.0000","37.2353","35.9091","32.0000","36.6667","33.3333","33.5000","30.2222","35.1667","36.9167","39.2500","39.6667","42.1429","42.2143","33.2222","36.0000","43.7857","43.2857","38.5000","36.2667","38.2308","40.5333","40.8667","43.6923","46.1250","40.7143","40.5625","35.9333","35.4000","35.9412","42.2143","45.3571","42.3333","38.3125","33.0000","36.3750","39.4615","37.5333"
"3","29.7143","27.8000","28.4286","25.1250","30.3182","30.2000","30.2381","29.0526","31.5909","33.6429","35.8667","36.1579","32.3077","33.7500","31.0625","33.7222","36.9444","28.3333","29.3125","28.8571","27.0000","33.4545","29.0000","31.5000","32.9167","31.0000","29.6957","29.0667","30.5294","31.1538","32.0714","34.5000","35.0769","36.5833","38.6364","35.6923","31.6000","31.4375","32.6875","31.2143","30.8889","32.4167","32.4444","33.0625","28.7778","28.9091","27.9333","30.7647","34.5333","34.0667","33.4706","33.0000","33.7619","34.5000","35.8095","34.8421","33.4444","34.1250","34.5000","34.0909","36.4000","34.2000","34.0000","34.8750","33.1053","30.3636","38.9524","34.3158","30.4286","31.0000","33.3889","36.2222","37.4375","38.7647","43.7368","38.3333","37.1667","38.8571","44.1875","39.6667","37.2500","37.8000","38.9091","38.3636","40.2500","42.4286","44.5833","42.1538","36.0833","38.6154","36.0769","34.4286","38.0000","42.1875","40.6250","37.6364","33.4615","39.5714","41.0000","38.2500"
"4","26.2778","32.5000","33.4000","27.3333","31.4667","33.0500","30.4444","32.7500","27.7500","33.3846","28.9333","37.6923","31.7333","30.6667","31.7000","36.7368","42.8750","31.3333","27.9333","26.7857","31.3125","32.3077","28.4375","30.6154","28.6923","32.1111","30.0000","29.0769","29.0000","29.2500","31.4167","31.4545","32.8182","35.5000","35.8125","34.4545","31.4615","30.1667","29.5455","31.1765","31.9333","33.6000","33.5455","33.1000","32.1429","28.0714","28.2000","32.6667","32.1818","36.2353","35.2222","35.3750","34.6154","32.6429","31.8889","33.0000","32.3333","34.6667","31.6667","30.3333","33.7692","33.4615","34.9000","36.6667","36.0769","30.5000","34.2667","35.3333","32.0000","30.8889","32.7273","34.0909","38.4545","38.4444","43.1000","35.7143","36.3000","36.7500","39.5000","39.0000","37.9167","41.7500","41.3571","38.8333","38.9091","41.7500","43.1111","39.0909","36.2500","37.6000","35.4286","34.1538","38.7857","44.8889","40.7857","36.4545","36.2000","36.8667","39.5000","37.8333"
"5","29.0000","28.8462","30.9286","29.9231","28.2143","32.7778","29.5714","29.1538","34.0769","33.5000","31.1538","38.7692","33.9333","30.9000","32.9545","39.2222","36.0000","26.0769","29.6364","27.2000","28.2222","29.3333","31.2727","29.2000","30.5385","30.0000","27.2727","30.1111","29.0909","29.3846","29.6667","30.6154","30.0526","34.6154","35.8182","35.3846","32.8182","31.2222","30.6364","29.5385","32.3636","32.0000","33.3125","35.4167","35.0000","29.6154","28.5714","31.5385","32.0000","36.4000","34.5385","33.4167","32.7692","32.8889","31.9167","32.7000","32.2727","34.1000","33.4167","29.7143","32.4000","32.4545","34.3333","35.5000","31.2143","29.9444","33.8182","33.6667","32.7778","30.3077","33.8182","34.8182","35.2500","40.7500","41.7778","36.9286","34.4667","36.5000","37.0000","41.1667","37.4615","38.0000","39.4545","41.5455","37.3571","42.7273","39.5000","35.4615","37.8000","33.0769","33.8333","36.0000","42.4444","44.8571","36.6154","35.0455","37.3750","35.0769","40.3636","36.8462"
"6","27.8000","26.3333","30.1333","30.4444","29.2500","30.1000","30.3000","32.9167","35.2222","41.0000","28.7273","28.8333","38.2500","34.3846","32.0000","33.2500","35.2222","27.4615","33.2500","27.9167","30.0000","28.4615","32.5333","28.6364","34.0769","33.2727","26.8000","28.6667","29.0000","29.7273","28.9091","31.4000","30.0000","32.6923","34.0769","34.6364","34.2727","29.7500","27.9333","28.7778","31.4615","31.8462","31.6923","32.8125","31.3846","30.6667","31.1000","29.9091","31.9167","34.8571","35.3333","35.6250","33.6000","33.8333","32.2727","33.3000","33.7778","30.3000","34.0000","30.1818","33.4000","33.1250","34.1667","38.1818","33.3333","30.8571","34.6000","34.7857","33.5455","30.9091","34.3000","35.7692","37.3077","35.4000","43.4167","38.7143","33.7778","35.0000","36.1000","38.6000","34.9091","35.9167","39.6250","38.4545","38.3636","37.0909","40.9091","38.3000","36.3000","33.7273","36.7778","39.2000","41.0000","46.0000","38.1111","33.3333","34.3636","37.2727","37.3846","37.1111"
"7","24.5000","33.7143","29.0000","28.3333","34.1818","37.8750","40.3750","33.5833","33.4615","32.0909","29.4167","29.0714","30.6364","33.1538","28.2857","26.0000","30.2500","30.0000","33.1538","28.0000","29.7143","31.0000","34.1538","26.0667","33.3636","34.2000","26.0000","33.8750","29.3077","29.8889","27.7692","31.7273","27.8182","32.5000","33.7500","36.0625","30.0833","31.9286","32.1818","31.9333","30.0000","30.3846","29.9167","31.4545","32.8182","29.3077","30.2727","29.5455","31.0909","34.4167","34.1538","32.8462","29.3333","33.3636","32.4545","32.7273","32.2000","33.1818","32.2727","30.6000","33.2500","35.6000","38.1429","37.6667","33.5455","28.6154","33.3333","33.3000","29.7895","29.6923","32.5000","34.8000","34.8462","35.8571","40.2000","37.3846","32.6667","36.1000","37.8889","39.0000","36.6250","38.8750","41.4615","39.6667","37.5556","39.4286","38.8000","39.2000","37.8000","37.1000","35.0769","40.5000","39.5000","43.6667","39.3636","32.6000","33.4167","37.3000","39.9000","37.2500"
"8","25.9524","32.0000","29.0000","29.8824","31.0000","36.7000","33.6471","31.2308","29.7692","29.5000","29.3333","30.7059","30.5294","34.3000","28.0000","29.5556","29.5833","30.3684","28.3333","26.5714","28.8182","29.3000","33.5455","30.9091","31.8125","35.5385","30.4545","34.0000","29.9231","34.0909","28.6667","30.4667","29.4375","32.6000","30.8333","34.5833","29.4118","30.8571","32.8462","34.3636","31.6364","31.3636","30.2308","29.8125","30.8571","30.8571","30.5000","31.4000","31.4667","34.6154","33.8333","35.2727","31.1818","32.0000","32.4545","32.5455","33.1667","30.8182","31.8182","29.7333","34.9000","33.7143","36.8889","36.8182","34.2727","29.3000","35.3333","32.2000","29.8571","29.0769","32.0000","34.3750","34.9167","39.0000","38.5833","35.3636","34.5385","35.0833","39.7500","37.1667","35.9231","37.3333","41.2000","40.6250","38.0833","39.3333","39.0769","39.2000","36.3571","35.8182","35.1667","40.6364","41.2000","42.6471","38.8889","36.4444","30.8889","35.5455","40.5556","38.1818"
"9","24.7500","32.0000","32.5000","32.1538","33.4706","36.2727","35.4615","36.0000","29.3333","28.6471","29.5000","29.2857","27.5294","30.8462","28.8000","30.7692","30.1429","31.1111","27.8462","24.7273","30.2727","28.1875","30.6875","28.0833","34.1250","30.1176","31.3333","33.0909","28.0000","31.0625","30.6923","30.3636","29.1667","35.0000","29.9167","35.0526","31.7273","29.5000","32.9000","31.1667","31.4167","33.5455","31.9231","30.8333","30.1875","28.8462","31.3750","32.1765","32.7500","35.9167","32.8462","32.1875","31.5385","32.9333","32.5556","33.5385","34.2500","33.8000","31.5833","29.3333","34.0000","33.2857","35.3333","35.1111","30.1429","30.7273","33.6667","32.8000","34.9091","30.1818","33.3750","37.2857","35.3077","37.5455","37.0000","33.1667","36.7000","36.0909","39.8889","39.8182","34.9000","41.7000","41.7500","40.0000","38.3636","38.7143","37.6667","36.4286","35.6667","35.1429","38.8182","38.9000","39.7000","43.1429","37.2143","37.6923","35.1818","37.6364","37.0833","37.4000"
"10","25.2500","29.8750","30.5000","31.7000","32.0909","31.1765","32.6667","30.8462","29.6667","28.7333","29.3750","29.5833","32.8182","34.8000","28.8750","32.6364","29.4375","29.5000","28.0000","26.4444","30.4286","28.8667","31.8889","31.8750","31.7273","28.7273","32.4167","27.4286","28.1000","29.4167","29.5000","31.2500","33.4545","35.5385","32.6250","32.4500","31.8750","33.7000","30.6250","28.5833","32.5556","36.0526","36.1818","30.7857","30.0000","30.2727","31.4444","31.8889","30.9286","36.3333","31.7778","32.6000","31.3636","35.0000","32.6875","35.5000","34.6667","35.3846","31.4167","29.9091","32.0000","31.8462","35.5714","35.9000","30.0833","29.0909","35.7143","33.2667","33.4167","31.9091","35.8000","37.2000","35.8571","39.8571","37.8889","34.8182","32.7273","36.4167","36.0833","40.2000","37.1429","41.4000","42.0000","42.7000","39.9000","40.2727","38.1250","38.1111","37.4000","38.8889","36.6250","39.9000","38.0000","44.1000","36.2000","35.8000","37.3333","40.7500","40.7000","34.6364"
"11","24.6316","27.0833","31.4545","30.4545","31.4615","30.4167","32.0000","28.9375","31.1667","28.3846","29.3000","29.8462","31.0000","29.5714","37.7000","33.0000","30.9167","30.9412","27.9412","28.0833","27.5714","27.7500","29.0000","34.7000","33.0769","29.4167","28.4545","28.1818","26.1176","28.1667","29.5833","30.0000","35.0000","34.5833","31.5000","32.0000","30.2593","32.5000","31.2500","30.2222","33.1176","41.3333","36.8000","34.2500","31.3077","29.5714","36.9091","34.7857","35.0833","35.8667","34.0000","33.2500","31.8000","32.2857","31.9000","30.9167","34.8462","35.5000","34.6000","31.8333","35.2000","35.3750","34.5333","36.0833","37.8000","29.8000","35.4167","33.9091","34.2222","31.9167","35.1667","37.6667","38.1000","34.7500","36.4615","33.1818","34.6667","36.3333","35.5000","39.4167","38.8000","41.0000","41.7500","42.8000","37.8889","35.9091","38.4444","35.4286","35.0909","35.4545","34.6667","39.3636","41.3333","43.4545","37.9091","36.3750","35.6667","37.7000","40.0000","34.9091"
